Austria,cyber_security_report_for_2021.pdf,,,,,Cybersecurity Steering Group,,D:20221213113006+01'00',,Adobe PDF Library 16.0.7,"The current Cybersecurity Report for 2021 is based on the content of last year’s report with the addition of current developments focusing in particular on the areas of international and operational developments. The observation period is 2021 with the inclusion of a few current developments from 2022.
",,,,,,,D:20221213113321+01'00',Adobe InDesign 17.4 (Macintosh),,,,,,,,,,Cybersecurity Report 2021,/False,
Austria,cyber_security_report_for_2020.pdf,,,,,Austrian Federal Chancellery,,D:20211022170232+02'00',,Adobe PDF Library 15.0,,,,,,,,D:20211022170714+02'00',Adobe InDesign 15.1 (Macintosh),,,,,,,,,,Cyber Security Report for 2020,/False,
Austria,Cybersicherheit_2020_en.pdf,,,,,Federal Chancellery – Republic of Austria,,D:20201111145245+01'00',,Adobe PDF Library 15.0,,,,,,,,D:20201111145853+01'00',Adobe InDesign 15.1 (Macintosh),,,,,,,,,,Cybersecurity Report 2020,/False,
Austria,report_cyber_security_2019.pdf,,,,,Cyber Security Steering Group,,D:20190619091943+02'00',,Adobe PDF Library 15.0,,,,,,,,D:20190619092034+02'00',Adobe InDesign CC 13.1 (Macintosh),,,,,,,,,,Report Cyber Security  2019,/False,
Austria,National_strategy_against_antisemitism.pdf,,,,,Federal Chancellery of Austria,,D:20210218123122+01'00',,Adobe PDF Library 15.0,"The national strategy against antisemitism is designed to provide impetus and guidance for tangible next steps to be taken, joint conclusions to be drawn, measures to be implemented and to reinforce existing examples of best practice with regard to preventing and combatting all forms of antisemitism and promoting Jewish life. It is guided by three fundamental principles at all times: recognising the problem, building awareness and preserving the culture of remembrance.",,,,,,,D:20210218123143+01'00',Adobe InDesign 15.1 (Macintosh),,,,,,,,,,National strategy against antisemitism,/False,
Belgium,CCB_Strategie%202.pdf,,,,,,,D:20210715091600+02'00',,Adobe PDF Library 15.0,,,,,,,,D:20210715091655+02'00',Adobe InDesign 15.1 (Windows),,,,,,,,,,,/False,
Canada,ntnl-cbr-scrt-strtg-en.pdf,,,,,,,D:20180612160922-04'00',,Adobe PDF Library 15.0,,,,,,,,D:20180612160934-04'00',Adobe InDesign CC 2017 (Windows),,,,,,,,,,,/False,
Canada,canada-defence-policy-report.pdf,,,,,,,D:20170606143244-04'00',,Adobe PDF Library 15.0,,,,,,,,D:20170612131957-04'00',Adobe InDesign CC 2017 (Macintosh),,,,,,,,,,"Strong, Secure, Engaged. Canada's Defence Policy. ",/False,
Canada,canada-implementation-2015-gge-norms-nov-16-en.pdf,,,,,"McBryde, Daniel -IOC",,D:20191119094809-05'00',,Microsoft® Word for Office 365,,,,,,,,D:20191119094809-05'00',Microsoft® Word for Office 365,,,,,,,,,,,,
Canada,commissioned-research-on-gender-and-cyber-report-by-sarah-shoker.pdf,,,,,,,,,Skia/PDF m83,,,,,,,,D:20200403163422-05'00',,,,,,,,,,,,,
Canada,gender-matters-report-web-letter-copy.pdf,,,,,,,D:20200421181044+02'00',,Adobe PDF Library 15.0,,,,,,,,D:20200421143035-04'00',Adobe InDesign 15.0 (Macintosh),,,,,,,,,,,/False,
Canada,530293_1.pdf,,,,,,,D:20221031165523+04'00',,Adobe PDF Library 17.0,,,,,,,,D:20221103164713+01'00',Adobe InDesign 18.0 (Windows),,,,,,,,,,,/False,
Chile,Chile_NCSP%20%28ENG%29.pdf,,,,,,,D:20170428195124-03'00',,GPL Ghostscript 9.14,,,,,,,,D:20170428195124-03'00',PDF24 Creator,,,,,,,,,,,,
Colombia,WEF_The_Global_Risks_Report_2022.pdf,,,,,,,D:20220128164830Z,,3-Heights™ PDF Optimization Shell 6.3.1.5 (http://www.pdf-tools.com),,,,,,,,D:20220131100430+01'00',Adobe InDesign 17.0 (Macintosh),,,,,,,,,,,/False,
Czech_Republic,CS_organisation_CZE_032016.pdf,,,,,,,D:20160329160001+03'00',,Adobe PDF Library 10.0,,,,,,,,D:20160329160005+03'00',Acrobat PDFMaker 10.1 for Word,,,,,,,D:20160329125938,,,,,
Czech_Republic,MZV_BS_A4_brochure_WEB_ENG.pdf,,,,,,,D:20230629174550+02'00',,Adobe PDF Library 17.0,,,,,,,,D:20230629174552+02'00',Adobe InDesign 18.3 (Windows),,,,,,,,,,,/False,
Denmark,digst_ncis_2022-2024_uk.pdf,,,,,The Danish Government,,D:20220428115639-04'00',,AbleDocs Inc.,,,,,,,,D:20220428203712-04'00',,,,,,,,,,,The Danish National Strategy for Cyber and Information Security,,
Denmark,ncis_2022-2024_en.pdf,,,,,The Danish Government,,D:20220428115639-04'00',,AbleDocs Inc.,,,,,,,,D:20220428203712-04'00',,,,,,,,,,,The Danish National Strategy for Cyber and Information Security,,
Denmark,visions-and-recommendations-for-denmark-as-a-digital-pioneer-danish-government-digitisation-partnership.pdf,,,,,,,D:20211018163126+03'00',,Adobe PDF Library 15.0,,,PDF/X-1a:2001,,,,,D:20211018163218+03'00',Adobe InDesign 16.0 (Windows),,,,,,,,,,8779 DIGST_Rapport_AS5_6_SD_en_gb.indd,/False,PDF/X-1:2001
Denmark,national-strategy-for-digitalisation-together-in-the-digital-development.pdf,,,,,The Danish Government,,D:20220824095336+02'00',,Adobe PDF Library 16.0.7,National Strategy for Digitalisation - together in the digital development,,,,,,,D:20220913091315+02'00',Adobe InDesign 17.4 (Macintosh),,,,,,,,,,National Strategy for Digitalisation - together in the digital development,/False,
Finland,YTS_2017_english.pdf,,,,,,,D:20180215113042+02'00',,Adobe PDF Library 15.0,,,,,,,,D:20180409183024+03'00',Adobe InDesign CC 13.0 (Windows),,,,,,,,,,,/False,
Finland,Finland_s_Cyber_Security_Strategy.pdf,,,,,,,D:20130222102153+02'00',,Adobe PDF Library 9.0,,,,,,,,D:20130307132851+02'00',Adobe InDesign CS4 (6.0.6),,,,,,,,,,,/False,
France,France_Cyber_Security_Strategy.pdf,,,,,,,D:20151015114446+02'00',,Adobe PDF Library 10.0.1,,,,,,,,D:20151015114502+02'00',Adobe InDesign CS6 (Windows),,,,,,,,,,,/False,
France,190514-_french_reponse_un_resolutions_73-27_-_73-266_ang_cle4f5b5a-1.pdf,,,,,DAUPHIN Mathias,,D:20190521001716+02'00',,Microsoft® Word 2010,,,,,,,,D:20190521001716+02'00',Microsoft® Word 2010,,,,,,,,,,,,
Germany,Country_Report_DEU.pdf,,,,,Sebastian.Cymutta,,D:20201227225943+02'00',,Microsoft: Print To PDF,,,,,,,,D:20201227225943+02'00',,,,,,,,,,,Microsoft Word - Country Report DEU,,
Germany,cyber-security-strategy-for-germany2021.pdf,,,,,"Federal Ministry of the Interior, Building and Community",,D:20210928075537+02'00',,axesWord,,,,,,,,D:20211019095737+01'00',Microsoft® Word 2016,,,,,,,,,,Cyber Security Strategy for Germany 2021,,
Germany,2016RP07_bdk.pdf,,,,,"Annegret Bendiek, Stiftung Wissenschaft und Politik (SWP) - German Institute for International and Security Affairs, Berlin","Due Diligence in Cyberspace, cyber policy, cyberattacks, cyberdefense",D:20160526154946+02'00',,Adobe PDF Library 11.0,"SWP Research Paper 2016/RP 07, May 2016, 33 Pages",,,"SWP Research Paper 2016/RP 07, May 2016, 33 Pages",,"Annegret Bendiek (bdk)
Due Diligence in Cyberspace. Guidelines for International and European Cyber Policy and Cybersecurity Policy
SWP Research Paper 2016/RP 07, May 2016, 33 Pages
Stiftung Wissenschaft und Politik (SWP) - German Institute for International and Security Affairs, Berlin",,D:20160526155231+02'00',Acrobat PDFMaker 11 für Word,SWP,,,,,,D:20160526133813,,,Due Diligence in Cyberspace. Guidelines for International and European Cyber Policy and Cybersecurity Policy,,
Germany,isec_a_00351.pdf,,,,,,,D:20190711074651-04'00',,Acrobat Distiller 19.0 (Macintosh); modified using iTextSharp 4.1.6 by 1T3XT,,,,,,,,D:20230812135856+00'00',,,,,,,,,,,untitled,,
Greece,E%CE%9D-NATIONAL-CYBER-SECURITY-STRATEGY-2020_2025.pdf,,,,,,,D:20210301225319+02'00',,Adobe PDF Library 15.0,,,,,,,,D:20210301225324+02'00',Adobe InDesign 16.1 (Macintosh),,,,,,,,,,NATIONAL CYBERSECURITY STRATEGY 2020 - 2025,/False,
Greece,Cybersecurity-Handbook-English-version.pdf,,,,,,,D:20220720201452+03'00',,Adobe PDF Library 16.0.7,,,,,,,,D:20220720201503+03'00',Adobe InDesign 17.3 (Macintosh),,,,,,,,,,Cybersecurity Handbook,/False,
Hungary,Strategy-for-the-security-of-network-and-information-systems-in-Hungary.pdf,,,,,nagy.klara01@gmail.com,,D:20201029150541+01'00',,Microsoft® Word 2013,,,,,,,,D:20201029150541+01'00',Microsoft® Word 2013,,,,,,,,,,,,
Hungary,CS_organisation_HUNGARY_2015-10-12.pdf,,,,,,,D:20151020120130+03'00',,Microsoft® Word 2010,,,,,,,,D:20151020120130+03'00',Microsoft® Word 2010,,,,,,,,,,,,
Iceland,220_ncss_web_0.pdf,,,,,,,D:20210202145948Z,,Adobe PDF Library 15.0,,,,,,,,D:20210202145955Z,Adobe InDesign 15.1 (Macintosh),,,,,,,,,,,/False,
Ireland,National_Cyber_Security_Strategy.pdf,,,,,John McGee,,D:20191220171353Z,,Adobe PDF Library 19.12.66,,,,,,,,D:20191220171402Z,Acrobat PDFMaker 19 for Word,DCENR,,,,,,D:20191220171145,,,,,
Ireland,Guidelines_on_Cyber_Security_Specifications.pdf,,,,,,,D:20230601112709+01'00',,Microsoft® Word for Microsoft 365,,,,,,,,D:20230601112709+01'00',Microsoft® Word for Microsoft 365,,,,,,,,,,,,
Ireland,Cyber_Security_Baseline_Standards_Rev_1_2022_Final.pdf,,,,,Paul Lee,raft Public Sector Cyber Security Baseline Standards,D:20221116132600+00'00',,Microsoft® Word for Microsoft 365,,,,,,,,D:20221116132600+00'00',Microsoft® Word for Microsoft 365,,,,,,,,,,,,
Ireland,NIS_Compliance_Security_Guidelines_for_OES.pdf,,,,,Vincent.OBrien@DCCAE.gov.ie,Confidential,D:20230731170749+01'00',,Microsoft® Word for Microsoft 365,,,,,,,,D:20230731170749+01'00',Microsoft® Word for Microsoft 365,,,,,,,,,,,,
Ireland,National-Cyber-Security-Strategy-2019-2024.pdf,,,,,John McGee,,D:20191220171353Z,,Adobe PDF Library 19.12.66,,,,,,,,D:20200109124244Z,Acrobat PDFMaker 19 for Word,DCENR,,,,,,D:20191220171145,,,,,
Ireland,a7e47530-622e-4a18-a080-bbaccfb05b33.pdf,,,,,Peter Hogan,,D:20221212162918+00'00',,Microsoft® Word for Microsoft 365,,,,,,,,D:20221212162918+00'00',Microsoft® Word for Microsoft 365,,,,,,,,,,,,
Ireland,IrishAid_AR_2021_WEB_V5-FA.pdf,,,,,,,D:20221018112110+01'00',,Adobe PDF Library 16.0.7,,,,,,,,D:20221018112140+01'00',Adobe InDesign 17.3 (Macintosh),,,,,,,,,,,/False,
Ireland,356d743c-b154-4a5f-b7ae-eb6714c2d011.pdf,,,,,Amy.Mulcahy,,D:20230628100204+01'00',,Microsoft: Print To PDF,,,,,,,,D:20230628100204+01'00',,,,,,,,,,,Microsoft Word - 20230616 Draft MTR Document_Arial Left Aligned,,
Israel,Israel%20International%20Cyber%20Strategy.pdf,,,,,,,D:20211004180014+03'00',,Microsoft® Word 2016,,,,,,,,D:20211004180014+03'00',Microsoft® Word 2016,,,,,,,,,,,,
Italy,ACN_EN_Strategia.pdf,,,,,,,D:20220524113732+02'00',,Adobe PDF library 16.07,,,,,,,,D:20220524114956+02'00',Adobe Illustrator 26.3 (Macintosh),,,,,,,,,,ACN_ENG_Strategia_Web,,
Italy,three_year_plan_for_it_in_public_administration_2019-2021.pdf,,,,,AGID,"piano triennale pubblica amminitrazione, informatica, digitale, cloud, amministrazioni, digitalizzazione, ICT, tecnologie, PA, trasformazione digitale, AGID, agenzia per l'italia digitale.",D:20191021125245+02'00',,Adobe PDF Library 19.21.79,,,,,,,,D:20191021125354+02'00',Acrobat PDFMaker 19 per Word,,,,,,,D:20191021085218,,,Piano triennale per l'informatica nella Pubblica Amministrazione 2019 - 2021,,
Italy,2022%20National%20Trade%20Estimate%20Report%20on%20Foreign%20Trade%20Barriers.pdf,,,,,"Smith, Spencer L. EOP/USTR (Contractor)",,D:20220329150129-04'00',,Adobe PDF Library 21.11.71,,,,,,,,D:20220329175145-04'00',Acrobat PDFMaker 21 for Word,White House Communications Agency,,,,,,D:20220329170127,,,,,
Japan,nss-e.pdf,,,,,,,D:20221216161719+09'00',,Acrobat Distiller 20.0 (Windows),,,,,,,,D:20221216162640+09'00',PScript5.dll Version 5.2.2,,,,,,,,,,,,
South_Korea,202108-KoreanWayWithData_final5.pdf,,,,,,,D:20210825155406-04'00',,Adobe PDF Library 15.0,,,,,,,,D:20210901112210-04'00',Adobe InDesign 16.2 (Macintosh),,,,,,,,,,,/False,
Lithuania,Lithuania_Cyber-Security-Strategy-2018_English.pdf,,,,,,,D:20190528153015+03'00',,Adobe PDF Library 10.0.1,,,,,,,,D:20190529153247+03'00',Adobe InDesign CS6 (Windows),,,,,,,,,,,/False,
Luxembourg,CYBERLUX_Legal_Notice.pdf,,,,,,,D:20230202142317Z00'00',,macOS Version 13.1 (Build 22C65) Quartz PDFContext,,,,,,,,D:20230202142317Z00'00',Word,,,,,,,,,,Microsoft Word - CYBERLUX_Legal_Notice.docx,,
Luxembourg,national-cybersecurity-strategy-iii-en-.pdf,,,,,,,D:20180219113825+01'00',,Adobe PDF Library 15.0,,,,,,,,D:20180219113908+01'00',Adobe InDesign CC 13.0 (Macintosh),,,,,,,,,,,/False,
Luxembourg,NCS_organisation_LUX-2021-FINAL.pdf,,,,,,,D:20210505160447+03'00',,Microsoft® Word 2016,,,,,,,,D:20210505160450+03'00',Microsoft® Word 2016,,,,,,,,,,,,
Luxembourg,National-Cybersecurity-Strategy-IV.pdf,,,,,,,D:20211011122616+02'00',,Adobe PDF Library 15.0,,,,,,,,D:20211011130637+02'00',Adobe InDesign 16.0 (Macintosh),,,,,,,,,,,/False,
Latvia,whitepaperondefence2011_2-1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,CS_organisation_CZE-3.pdf,,,,,,,D:20191207093410+02'00',,Microsoft® Word 2016,,,,,,,,D:20191207093410+02'00',Microsoft® Word 2016,,,,,,,,,,,,
Latvia,CS_organisation_ESTONIA_032015_1-1.pdf,,,,,,,D:20150615154107+03'00',,Microsoft® Word 2010,,,,,,,,D:20150615160837+03'00',Microsoft® Word 2010,,,,,,,,,,,,
Latvia,CS_organisation_SLOVAKIA_042015-2.pdf,,,,,,,D:20160229171219+02'00',,Adobe PDF Library 10.0,,,,,0x010100193BAF0900D00A4F9DD5658DEEFC4A59,,,D:20160229171222+02'00',Acrobat PDFMaker 10.1 for Word,,,,,,,D:20150406081556,,,,,
Mexico,quo_vadis_mexicos_cybersecurity_strategy.pdf,,,,,Maria Luisa Parraguez Kobek,,D:20180501151804-04'00',,Microsoft® Word 2016,,,,,,,,D:20180501151804-04'00',Microsoft® Word 2016,,,,,,,,,,,,
Mexico,ENCS.pdf,,,,,"Solis Rivera, Carmen Valeria",,D:20181012125904-05'00',,Microsoft® Word 2016,,,,,,,,D:20181012125904-05'00',Microsoft® Word 2016,,,,,,,,,,,,
Netherlands,2023-HSD-rapport-human-capital-final-totaal-interactief-final.pdf,,,,,,,D:20230625073738+02'00',,Adobe PDF Library 16.0.7,,,,,,,,D:20230625073810+02'00',Adobe InDesign 17.4 (Macintosh),,,,,,,,,,,/False,
Netherlands,National-Cyber-Security-Agenda.pdf,,,,,,,20180607092415+01'00',,QuarkXPress(R) 11.2r6,,,,,,,,20180607092415+01'00',QuarkXPress(R) 11.2r6,,"%%DocumentProcessColors: Cyan Magenta Yellow Black
%%EndComments",,,,,,,,Opmaak 1,,
Netherlands,Security+Strategy+for+the+Kingdom+of+the+Netherlands.pdf,,,,,Rijksoverheid,,D:20230405102355+02'00',,Adobe PDF Library 17.0,,,,,,,,D:20230405102358+02'00',Adobe InDesign 18.2 (Macintosh),,,,,,,,,,"De Veiligheidsstrategie voor het 
Koninkrijk der Nederlanden
",/False,
Netherlands,NCSS2Engelseversie.pdf,,,,,,,D:20131025101208+02'00',,Adobe PDF Library 9.9,,,,,,,,D:20131118171153+02'00',Adobe InDesign CS5.5 (7.5.3),,,,,,,,,,,/False,
New_Zealand,nzcss-action-plan-annual-report-2016.pdf,,,,,New Zealand National Cyber Policy Office,,D:20170321130535+13'00',,,,,,,,,,D:20170615154939+12'00',,,,,,,,,,,New Zealand's Cyber Security Strategy Action Plan Annual Report 2016 - March 2017 - National Cyber Policy Office,,
New_Zealand,nz-cyber-security-strategy-december-2015.pdf,,,,,Security & Intelligence Group - Department of the Prime Minister and Cabinet - New Zealand,,D:20170224083532+13'00',,,,,,,,,,D:20170224092204+13'00',,,,,,,,,,,"Report: New Zealand's Cyber Security Strategy: 2015: A secure, resilient and prosperous online New Zealand - December 2015",,
New_Zealand,Cyber%20Security%20Strategy.pdf,,,,,,,D:20190628154212+12'00',,Adobe PDF Library 15.0,,,,,,,,D:20190628154223+12'00',Adobe InDesign 14.0 (Windows),,,,,,,,,,,/False,
Norway,national-cyber-security-strategy-for-norway.pdf,,,,,,,D:20190430130958+02'00',,Adobe PDF Library 15.0,,,,,,,,D:20190509115346+02'00',Adobe InDesign 14.0 (Windows),,,,,,,,,,,/False,
Poland,csec2017.pdf,,,,,Yan Timanovsky,,D:20180214112140-05'00',,Adobe PDF Library 10.0,,,,,,,,D:20180308100815-05'00',Acrobat PDFMaker 10.1 for Word,Hewlett-Packard Company,,,,,,D:20180214162009,,,,,
Poland,NCSO_Poland_2017.pdf,,,,,,,D:20171019153212+03'00',,Microsoft® Word 2013,,,,,,,,D:20171019153212+03'00',Microsoft® Word 2013,,,,,,,,,,,,
Poland,Cybersecuritystrategy_PL.pdf,,,,,,,D:20171130225225+01'00',,Microsoft® Word 2016,,,,,,,,D:20171130225225+01'00',Microsoft® Word 2016,,,,,,,,,,,,
Portugal,portugal-ncss-2019-2023-en-2.pdf,,,,,alexandre.leite,,D:20200207104917Z,,Microsoft: Print To PDF,,,,,,,,D:20200207152248Z,,,,,,,,,,,Microsoft Word - PORTUGAL - NCSS 2019_2023 EN,,
Slovenia,Slovenia_country_report_final_for_publication_August_2021.pdf,,,,,Damjan Štrucl,,D:20210825110916+03'00',,Microsoft® Word 2016,,,,,,,,D:20210825110917+03'00',Microsoft® Word 2016,,,,,,,,,,,,
Slovakia,SDT-English-Version-FINAL.pdf,,,,,Adriana Ciefova,,D:20191029120601+01'00',,Microsoft® Word 2016,,,,,,,,D:20191029120601+01'00',Microsoft® Word 2016,,,,,,,,,,,,
Slovakia,CRIndex2.pdf,,,,,,,D:20151215024713-05'00',,Adobe PDF Library 10.0.1,,,,,,,,D:20151215024725-05'00',Adobe InDesign CS6 (Macintosh),,,,,,,,,,,/False,
Spain,file.pdf,,,,,,,D:20191009155445+02'00',,Adobe PDF Library 15.0,,,,,,,,D:20191009215643+02'00',Adobe InDesign 14.0 (Windows),,,,,,,,,,,/False,
Spain,file.pdf,,,,,,,D:20191009155445+02'00',,Adobe PDF Library 15.0,,,,,,,,D:20191009215643+02'00',Adobe InDesign 14.0 (Windows),,,,,,,,,,,/False,
Spain,CS_organisation_SPAIN_092016.pdf,,,,,Kadri Kaska,,D:20160905131652+03'00',,Microsoft® Word 2013,,,,,,,,D:20160905131652+03'00',Microsoft® Word 2013,,,,,,,,,,,,
Sweden,2021NTE.pdf,,,,,SLSmith2,,D:20210329153508-04'00',,Adobe Acrobat Pro 2017 17.11.30194,,,,,,,,D:20210329153508-04'00',Adobe InDesign 16.1 (Macintosh),,,,,,,,,,,,
Turkey,TUR_country_report_final_clean_ver_2408.pdf,,,,,,,D:20210825103410+03'00',,LibreOffice 5.2,,,,,,,,,Writer,,,,,,,,,,,,
Turkey,TUR_country-report_final-ver-for-publication_August-2021.pdf,,,,,,,D:20210825101929+03'00',,Microsoft® Word 2016,,,,,,,,D:20210825101930+03'00',Microsoft® Word 2016,,,,,,,,,,,,
United_Kingdom,national-cyber-strategy-amend.pdf,,,,,Cabinet Office,,D:20220202115159Z,,Adobe PDF Library 16.0,,,,,,,,D:20220207145055Z,Adobe InDesign 16.4 (Macintosh),,,,,,,,,,National Cyber Strategy,/False,
United_Kingdom,Impact_of_GDPR_on_cyber_security_outcomes.pdf,,,,,Hale Roisin,,D:20200803134021+01'00',,Microsoft® Word for Office 365,,,,,,,,D:20200803134413+01'00',Microsoft® Word for Office 365,,,,,,,,,,,,
United_Kingdom,uk-innovation-strategy.pdf,,,980fd74c-5407-4a93-8403-85bb3c7d65de,,"Department for Business, Energy and Industrial Strategy",,D:20210721205630+01'00',,Adobe PDF Library 21.5.90,,OFFICIAL,,,0x0101008EDC0A7074CC4D4D85B086D65BCBB2A9,,2020-01-16T10:35:31Z,D:20210809120057+01'00',Acrobat PDFMaker 21 for Word,,,,8301,b52d6e55-1fed-48e8-88a2-000013a69850,10;#Internal Communications|3633d5a3-731a-4af5-ab75-e2aba398c41c,,,8301,UK innovation strategy,,
United_Kingdom,Cyber_Security_Breaches_Survey_2021_Statistical_Release.pdf,,,,,Ipsos MORI,,D:20210323162358+00'00',,Microsoft® Word 2016,,,,,,,,D:20210323162358+00'00',Microsoft® Word 2016,,,,,,,,,,Cyber Security Breaches Survey 2021: Statistical Release,,
United_Kingdom,CCS207_CCS0320329850-001_Network_and_Information_Systems_Regulations_Post-Implementation_Review_Web_V2.pdf,,,,,,CP 242,D:20200527103354+01'00',,Skia/PDF m84,,,,,,,,D:20210211120436Z,,,,,,,,,,,Post-Implementation Review of the Network and Information Systems Regluations 2018,,
United_Kingdom,UK_Cyber_Sectoral_Analysis__2020__Report_V2.pdf,,,,,Sam Donaldson,,D:20200129110952Z,,Adobe PDF Library 19.21.90,Universal Normal Template,,,,0x0101007031D734CCF13040BCE1CBD613E3F542,,,D:20210203112737Z,Acrobat PDFMaker 19 for Word,IPSOS,,,,,,,,,UK Cyber Security Sectoral Analysis 2020,,
